label,n_neurons,n_values,"NMI(label, primary_np)","NMI(label, np_group)","AMI(label, primary_np)"
super_class,125993,9,0.4442869947447949,0.5528995673300918,0.4438888700949657
cell_class,95487,48,0.5210058470342517,0.44730819890390333,0.5195711926431329
cell_sub_class,24154,98,0.6478274877039039,0.6205379689283317,0.6427609923570936
ito_lee_hemilineage,36257,214,0.4861051012817339,0.42436592242901894,0.4724486047449273
top_nt,125894,6,0.13729314725634922,0.16458164873527178,0.13688868739116533
cell_type,125240,8809,0.43870150460063395,0.33220979609582363,0.39109775006349645
